method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
POST,/api/suppliers/eligible-sales/sync-delivered,server.ts:4026,serverDb supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
GET,/api/suppliers/settlements/all,server.ts:4043,supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
GET,/api/suppliers/:id/settlements,server.ts:4052,supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
GET,/api/suppliers/settlements/:id,server.ts:4061,supplierEngine,,NONE,n,-,ORPHAN(no client caller)
POST,/api/suppliers/:id/settlements,server.ts:4071,supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
PUT,/api/suppliers/settlements/:id/status,server.ts:4087,supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
POST,/api/suppliers/settlements/:id/pay,server.ts:4099,securityEngine supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,y,-,WIRED
GET,/api/suppliers/:id/statement,server.ts:4126,supplierEngine,,src/pages/supplier/SupplierPortalPage.tsx,n,-,WIRED
GET,/api/suppliers/supply-chain/metrics,server.ts:4141,supplierEngine,,NONE,n,-,ORPHAN(no client caller)
POST,/api/customer/auth/login,server.ts:4154,serverDb,customers,src/components/auth/CustomerAuthModal.tsx | src/pages/AccountPage.tsx,n,-,WIRED
POST,/api/customer/auth/register,server.ts:4193,serverDb,customers customerAddresses,src/components/auth/CustomerAuthModal.tsx | src/pages/AccountPage.tsx,n,-,WIRED
POST,/api/customer/auth/logout,server.ts:4256,,,NONE,n,-,ORPHAN(no client caller)
POST,/api/customer/auth/link-guest-order,server.ts:4260,serverDb securityEngine,,src/components/auth/CustomerAuthModal.tsx | src/pages/AccountPage.tsx,n,-,WIRED
POST,/api/customer/auth/change-password,server.ts:4314,serverDb securityEngine,customers,src/pages/AccountPage.tsx,n,-,WIRED
GET,/api/security/sessions,server.ts:4346,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
POST,/api/security/sessions/revoke,server.ts:4355,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
POST,/api/security/sessions/revoke-all-others,server.ts:4366,securityEngine,,NONE,n,-,ORPHAN(no client caller)
GET,/api/security/rbac/roles,server.ts:4377,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
GET,/api/security/rate-limit/status,server.ts:4386,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
GET,/api/security/rate-limit/banned-ips,server.ts:4395,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
POST,/api/security/rate-limit/unban,server.ts:4404,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
POST,/api/security/rate-limit/ban,server.ts:4415,securityEngine,,src/admin/UsersAdmin.tsx,n,-,WIRED
GET,/api/system/health,server.ts:4436,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
